客户触发,我方回复
引用：[图片]；把3改一下，媒体的那个不做了，改成公司版general图片的邀请函（竖版)我给你贴个例子。 一个BU提供邀请函内容了，给你发邮件了@何珺? 是研讨会,收到了哦，1个研讨会文字
这个是什么？你说图片版本吗？ 公司的不是不发吗 文字版的早给你了 图片版的做出来 但是不发微信 销售定向发是这个意思吗？文字版和图片版都准备 是这样吗,我整理了下，节前需要完成的是这几个吧， 2和3邀请函是紧急的，节前要定稿发走
等老板们批完、生成报价单吧,您现在归哪组啊 leader是？ 我只是好奇问问[微笑] 因为感觉您也很多年了
不是不是，如果日期临近，就拜托直接发到酒店（活动地点）。所以想知道几天能印好。,嗯嗯，文件今天给我的话，安排印刷，下周三，19日可以到货了
好的，那我去跟那个那个同事再去跟他要一下这个相应的文件。然后麻烦请问一下，最快多久能印出来呢？我们是希望在25号，用这样的话倒推就是24号23号得收到。用的城市是天津和深圳，都不算偏远，倒是。 具体的地址如果来得及的话，那具体的地址就是我去找酒店要，因为我们正在签合同，然后您这边就赶紧帮我出报价单，然后安排预发，好不好？,好呀，没问题，这2个文件比较简单，就单片和2折页。 纸张按我的经验推荐用200g铜板，你看这纸ok哇
发了，有问题联系。也是之前的同事和供应商都有变化，我第一次弄。有问题您随时联系我。,邮件收到了哦。 印刷和顺丰物流都可以安排的。 什么日期需要用呢 文件请发，ai，或者indd，或者带出血的高精度PDF哈
印刷也可以是吧？您给个邮箱，我给您发个印刷需求，比较着急。,alice@speed-asia.com 可以的，发我下看哈
一般来说我们需要合同申请付款，我这不是着急么，我就用报价单先去试试。最好能顺利请款、然后如果印刷品也没问题，咱可以签个框架合同。以后就可以只凭报价单请款了。,嗯嗯，好呀，没问题 帮忙邮件报价单，回复确认下哦。 我这边就可以开工了
您看看，是不是这个,这个ok的 邮件报价有收到哇
那麻烦您按我们这个纸张报价吧,嗯嗯，就按这个报价走吧。 和领导申请了 运费不含哈， 顺丰运费要不到付可以哇
电子发票？开好丢给我就是了。,好嘞~~登记开票了哈 印刷品使用还满意哇~~ 期待更多的合作机会哦
https://www.freepik.com/ 这俩网页我们都有账号，您可以先挑图用着。确认后我们发您原图。 引用：PPT内容不多呀，一共8页， 做A4 8页最多了，内容还蛮松散的；哟！您这个建议有意思。听您的。看设计师的吧。不一定要遵守PPT的页数，嗯呢。 横板OK,嗯嗯，设计师OK的，下周四出初稿，第一次做，规则什么的我们研究下，初稿出来后也麻烦您多提点下哈 先按8P的报价制作，如果定稿多了，我们再调整。 参考PDF是横版的，这本也做横版哦。 稍等发邮件报价给您，需要回复确认下报价哈 800元/页*8页=6400元
这个不是两页，这一共得10页吧 https://www.shutterstock.com/zh/home,PPT内容不多呀，一共8页， 做A4 8页最多了，内容还蛮松散的
这个产品册的设计，您这边愿意试试吗。下周出初稿可以吗。之前联系的这家几乎是原封不动的把PPT做成PDF了而已。我需要的是“设计”。 尤其是图片。最好能换一换。,这是要做成2P的单页对吧。 图片你家有图库可以用吗， 现在图片都有版权，最好是用南德现有的哦
便宜的就不用了，主要看看200多的。,项链+磁吸卡包+钥匙扣和冰箱贴，住友集团是做了一个套盒的，25周年庆 美国设计师品牌SWELL保温杯，这个贵，要300/个 磁吸自带3线充电宝，210/个 商务双肩包，210/个 这些品类可以看下哦
好的知道了。顺便一说，笔我们都送过lamy了，同类产品不考虑了。,也可以装类似的礼盒，这个礼盒是PARKER笔+笔记本 好滴，发你参考下。 还有其他的哦，稍等哈 新秀丽洗漱包三件套 290元/套 925银定制项链（文字图案都是定制的） 磁吸手机支架+卡包 定制金属钥匙扣和冰箱贴
风格，是的。但不能长一个样。。。[Grin],这类设计是800元/页哦
对了，宣传页的设计你们做吗？价格？ 从无到有。,"引用：200多的开业仪式礼品有什么推荐吗。之前送过茶具、lamy的笔。；回复：这个有的，稍等最近定的发你看看哦 这是一条引用/回复消息： ""郝雨： 对了，宣传页的设计你们做吗？价格？"" ------ 有英文版本设计文件，我们排成中文吗 还是从无到有的设计呀 PARKER笔，248/支 这是一条引用/回复消息： ""郝雨： 从无到有。"" ------ 是类似这次印刷的单片样子哇"
引用：[文件]；诶 您这企业账号不能转账。我能给您红包吗？,估计是企业微信的关系[偷笑] 收到71哈~~ [胜利]合作愉快哦~~
这种平时的礼品都做过了。不够特别。,红木筷，高白瓷碟套装~~ 酒具套装 龙珠姓氏陈皮白茶
您记得，我们中文思源黑体，英文自己得这个字体。没有第三个选择[Grin],报价邮件发了，麻烦邮件先回复确认下哈， 就可以安排印刷工作了 PO您协助同步申请就好
嗯嗯，这次不急。正常安排就成。,好嘞，邮件收到了哦。 一共600份哦， 缺字体哦， 哪里可以下载哇 收到哈，[合十]
发了印刷需求给您邮件。正常出报价、安排即可。正常就一周左右呗？,嗯嗯，一般一周ok的，上次纸张确认过了 收下邮件哦
不用。定稿后您直接出补充报价和发票。我更改PO并付款即可。,您同事的诉求是，帮忙看看我理解的对哇。 1.图片挑选亮色系（减少人物形象） 2.2P改为4P，增加图片和设计排列，文字可以相对分开松散些。 引用：不用。定稿后您直接出补充报价和发票。我更改PO并付款即可。；回复：好滴，没问题
引用：按39cm高度，直径9.5cm定制 黑色+烫金色双面Logo， 120个，是1500元哦， 折合12.5/个；做，您出报价单、设计、打样。 报价单不用单出，跟大连活动一起。 先设计打样吧,好的，那我先发个简单的邮件，麻烦回复确认下哈，先设计打样
您好，我刚才看到您在1点04分的时候，又发了一个报价的邮件，对吧？然后您上面说，如微信沟通，总报价单中包含服务设计费金额是1万块钱。 我请问一下，这个是跟。 不好意思，我给您回完邮件以后，我突然想起来您第二封邮件里说的1万块钱的设计费，我好像在这个报价单里没看见。,有的有的 记得在最后的服务费
手提袋没有问题，可以制作手提袋的，钱在报价单里吗？我怎么印象没看见？我马上就处理这个事儿，稍等一下。 反正我今天肯定回你这个邮件。,在报价单里哦， 最后，其他的第三项，1500哈 好嘞，等你邮件哈，手提袋我安排大货了。
好的，我稍后看一下，没有问题，我就申请。 麻烦您真的再帮忙催一下我们的三个邀请函。因为我们这边微信微信编辑的同事也在催了，因为我们毕竟是五点下班，那在这几天要定稿。,嗯嗯，一直催着，节前好几个设计完稿，稍等哈
这样才7k。对比您的7k，我觉得贵还是可以理解吧[捂脸]而且人家的价格啥都包含了哦。,嗯嗯，我家的价格确实不便宜滴，优势在一体化服务
引用：[图片]；这个供应商也是非常不错，但她们主要做婚庆，所以风格跟我们有出入，没法经常用。 这个活动供应商设计的东西真的超级好看。就是确实不太商务哈哈哈。唉。找个好供应商难！ 这是设计制作的签到背景区。,哈哈，确实，这个风格私人宴会用的比较多[偷笑]
您看一下我们去年活动的报价。你这个价格既不便宜，还在重复收费，这点呢太贵了。 我们每年都有活动。看长期一点吧。之前的供应商都觉得一般，目前与您的合作觉得挺不错的。包括设计印刷、活动搭建。我们很有诚意长期合作。,好嘞，我和公司再申请下下哦~~
我们出差了 得晚一些,可以的话，抽空盖章合同那封邮件先回复确认下呗
我明天就下。今天还是一天课。 预付款不需要发票 预付款我们正常给，不需要开发票。然后等活动结束以后，如果没有后续费用，那就开发票，然后结尾款。如果有后续费用的话，就到时候麻烦您补一个补充那个价格的这个协议，然后开发票付尾款。,好嘞 那就麻烦明天协助一起哈 [爱心]
我这儿有笔费用得麻烦您活动后报销给我。28号我们有个媒体活动，每个老师1千，一共3千。活动后您以“媒体日活动物料”加进补充报价单。 你们几号过去？,引用：我这儿有笔费用得麻烦您活动后报销给我。28号我们有个媒体活动，每个老师1千，一共3千。活动后您以“媒体日活动物料”加进补充报价单。；回复：好的，我先记录一下
?我这边还自付了酒水费用共计1184元，请计入尾款增项。也是我们公司付款完完毕，您再打给我。 我这边应该就这些了，没了。麻烦您整理好我们的增项，先发我看看。我可能需要分开结账。谢谢哈！不急。 要不请教一下，你把酒水放到这个账单里的话。这发票是不是就有点对不上，酒水是要开那个。就是不能开增专的。 换个名字？,嗯嗯，这个是给您看的。 后面的这几项，统一改为“服务费” 可以哇
印刷品的PO您那边收到通知了吧，开发票给我即可,嗯嗯，收到了哦， 发票稍等下发您哈 剩下的活，就是那个设计的，英文文字待贵司确认~~
